Statistic,Month,NACE.Group,value
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of books, newspapers and stationery (4761,4762)",-0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",3.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,Motor trades (45),-2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",4.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,Department stores (4719),2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,Retail sale of automotive fuel (4730),-1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of hardware, paints and glass (4752)",7.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,Retail sale of furniture and lighting (4759),2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,Bars (5630),-7.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,All retail businesses,-0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Motor trades and automotive fuel (45,4730)",-3.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"All retail businesses, excluding motor trades and bars",2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"All retail businesses, excluding motor trades",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"All retail businesses, excluding motor trades, automotive fuel and bars",2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of food (4711,4721 to 4729)",4.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",0.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",6.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of electrical goods (4741 to 4743,4754)",-2.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",5.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of books, newspapers and stationery (4761,4762)",0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,Motor trades (45),7.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",4.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,Department stores (4719),-5.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,Retail sale of automotive fuel (4730),-0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of hardware, paints and glass (4752)",7.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,Retail sale of furniture and lighting (4759),7.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,Bars (5630),1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,All retail businesses,3.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Motor trades and automotive fuel (45,4730)",6.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"All retail businesses, excluding motor trades and bars",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"All retail businesses, excluding motor trades",1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"All retail businesses, excluding motor trades, automotive fuel and bars",1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of food (4711,4721 to 4729)",5.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",7.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",4.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of electrical goods (4741 to 4743,4754)",-3.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-5.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-5.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of books, newspapers and stationery (4761,4762)",6.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",5.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,Motor trades (45),2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",3.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,Department stores (4719),-4.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,Retail sale of automotive fuel (4730),-2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of hardware, paints and glass (4752)",3.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,Retail sale of furniture and lighting (4759),8.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,Bars (5630),-4.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,All retail businesses,1.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Motor trades and automotive fuel (45,4730)",2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"All retail businesses, excluding motor trades and bars",1.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"All retail businesses, excluding motor trades",1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"All retail businesses, excluding motor trades, automotive fuel and bars",1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of food (4711,4721 to 4729)",3.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",2.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of electrical goods (4741 to 4743,4754)",-4.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",0.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of books, newspapers and stationery (4761,4762)",1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",5.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,Motor trades (45),2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",6.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,Department stores (4719),1.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,Retail sale of automotive fuel (4730),-2.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of hardware, paints and glass (4752)",-5.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,Retail sale of furniture and lighting (4759),11.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,Bars (5630),0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,All retail businesses,3.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Motor trades and automotive fuel (45,4730)",2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"All retail businesses, excluding motor trades and bars",4.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"All retail businesses, excluding motor trades",3.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"All retail businesses, excluding motor trades, automotive fuel and bars",4.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of food (4711,4721 to 4729)",5.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",4.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of electrical goods (4741 to 4743,4754)",1.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",3.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",5.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",5.8
